City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name,Hotel name
0,Thompson,CA,68.16,broken clouds,55.7435,-97.8558,,Burntwood Hotel
1,Tuktoyaktuk,CA,43.48,overcast clouds,69.4541,-133.0374,,End of The Road Ltd.
2,Auchel,FR,63.1,overcast clouds,50.5034,2.4735,,Gîte d’étape du Presbytère
3,Flin Flon,CA,60.17,overcast clouds,54.7682,-101.865,,Victoria Inn Flin Flon
4,Harpanahalli,IN,72.32,overcast clouds,14.8,75.9833,,Bismillah Biriyani Hotel
5,Nome,US,44.67,light rain,64.5011,-165.4064,,Dredge 7 Inn
6,Hermanus,ZA,59.81,overcast clouds,-34.4187,19.2345,,Misty Waves Boutique Hotel
7,Punta Arenas,CL,37.51,clear sky,-53.15,-70.9167,,Hotel Hain
8,Norsup,VU,77.7,moderate rain,-16.0667,167.3833,,Nabelchel Bungalows
9,Hobart,AU,60.26,broken clouds,-42.8794,147.3294,,St Ives Hobart Accommodation Tasmania
10,Ponta Do Sol,PT,65.03,scattered clouds,32.6667,-17.1,,Hotel do Campo
11,Evensk,RU,46.72,overcast clouds,61.95,159.2333,,
12,Bethel,US,61.03,overcast clouds,41.3712,-73.414,,Courtyard by Marriott Danbury
13,Hithadhoo,MV,83.91,scattered clouds,-0.6,73.0833,,Scoop Guest House
14,Vestmanna,FO,49.12,broken clouds,62.1564,-7.1664,,Vestmanna Camping
15,Rikitea,PF,75.7,few clouds,-23.1203,-134.9692,,People ThankYou
16,Saravan,AM,51.58,scattered clouds,39.7196,45.6483,,
17,Ushuaia,AR,35.26,light rain,-54.8,-68.3,,Albatross Hotel
18,Cape Town,ZA,60.12,mist,-33.9258,18.4232,,"Radisson Blu Hotel Waterfront, Cape Town"
19,Aasiaat,GL,35.38,overcast clouds,68.7098,-52.8699,,Hotel Aasiaat Sømandshjem
20,Mataura,NZ,43.48,overcast clouds,-46.1927,168.8643,,Ellie's Villa
21,Tynset,NO,56.82,overcast clouds,62.2759,10.7824,,Tynset Rooms & Camping
22,Upernavik,GL,34.03,overcast clouds,72.7868,-56.1549,,Café de Upernavik
23,Bowen,AU,72.3,clear sky,-20.0167,148.2333,,Castle Motor Lodge Motel
24,Arbagar,RU,70.41,few clouds,51.9438,116.2805,,
25,Abonnema,NG,74.28,overcast clouds,4.7084,6.7931,,Corper's Lodge Obonoma
26,Castro,BR,58.95,clear sky,-24.7911,-50.0119,,CHACARA BAILLY
27,Minab,IR,88.12,scattered clouds,27.1467,57.0801,,Bam campground
28,Asau,RO,50.92,broken clouds,46.4333,26.4,,Casa Mika Ciobanus
29,Tiksi,RU,39.88,overcast clouds,71.6872,128.8694,,Arktika
30,Marietta,US,89.46,few clouds,33.9526,-84.5499,,Hilton Atlanta/Marietta Hotel & Conference Center
31,Pevek,RU,43.65,overcast clouds,69.7008,170.3133,,Severnoye Zoloto
32,Hami,CN,93.88,scattered clouds,42.8,93.45,,Laoyutang Resort
33,Butaritari,KI,81.73,light rain,3.0707,172.7902,,Isles Sunset Lodge
34,Rio Cuarto,AR,40.48,overcast clouds,-33.1307,-64.3499,,Hotel Menossi
35,Wawa,NG,72.75,light rain,9.9022,4.4192,,
36,Moissala,TD,71.17,moderate rain,8.3404,17.7663,,
37,Albany,US,63.18,overcast clouds,42.6001,-73.9662,,
38,Vestmannaeyjar,IS,46.89,overcast clouds,63.4427,-20.2734,,Glamping & Camping
39,Tazovskiy,RU,72.03,scattered clouds,67.4667,78.7,,TazHostel
41,Oussouye,SN,81.25,overcast clouds,12.485,-16.5469,,Auberge du Routard
42,Faya,SA,68.11,overcast clouds,18.3851,42.4509,,املاك خالد الشعشوع
43,Vaini,TO,77.16,few clouds,-21.2,-175.2,,Keleti Beach Resort
44,Provideniya,RU,41.36,mist,64.3833,-173.3,,
45,North Bend,US,70.25,overcast clouds,43.4065,-124.2243,,Red Lion Hotel Coos Bay
46,Saint Pete Beach,US,84.02,scattered clouds,27.7253,-82.7412,,Sirata Beach Resort
47,Bredasdorp,ZA,58.03,overcast clouds,-34.5322,20.0403,,Bredasdorp Country Manor
48,Le Port,RE,67.24,clear sky,-20.9373,55.2919,,KORBEY D'OR OUEST
49,Tacoronte,ES,59.41,broken clouds,28.4769,-16.4102,,Casa Laurel
50,Bambous Virieux,MU,70.05,scattered clouds,-20.3428,57.7575,,Casa Tia Villa
51,Taksimo,RU,55.18,overcast clouds,56.3444,114.8794,,"Gostinitsa ""Domashniy Ochag"""
52,Barkot,IN,77.36,few clouds,30.8167,78.2,,Camp Nirvana®
53,Tommot,RU,66.61,overcast clouds,58.9564,126.2925,,Gostinitsa Tommot
54,New Norfolk,AU,59.92,overcast clouds,-42.7826,147.0587,,The Shingles Riverside Cottages
