City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Euclides Da Cunha,-10.5075,-39.0158,76.95,49,13,6.93,BR,2022-06-22 19:34:51
1,Hermanus,-34.4187,19.2345,57.79,81,96,6.22,ZA,2022-06-22 19:34:51
2,Bethel,41.3712,-73.414,63.03,94,100,5.75,US,2022-06-22 19:31:35
3,Iquitos,-3.7481,-73.2472,84.24,74,75,5.75,PE,2022-06-22 19:33:09
4,Kaitangata,-46.2817,169.8464,32.79,73,72,3.96,NZ,2022-06-22 19:34:52
5,Chernyshevskiy,63.0128,112.4714,55.96,53,95,1.14,RU,2022-06-22 19:34:52
6,Buala,-8.145,159.5921,79.59,82,19,4.41,SB,2022-06-22 19:34:53
7,Terney,45.0503,136.6092,55.17,99,100,3.65,RU,2022-06-22 19:34:53
8,Punta Arenas,-53.15,-70.9167,41.11,70,40,19.57,CL,2022-06-22 19:32:31
9,Rikitea,-23.1203,-134.9692,74.84,75,11,11.01,PF,2022-06-22 19:34:53
10,Emerald,-23.5333,148.1667,52.23,72,0,8.21,AU,2022-06-22 19:34:54
11,Busselton,-33.65,115.3333,61.7,87,100,8.01,AU,2022-06-22 19:34:54
12,Bluff,-46.6,168.3333,38.26,73,100,8.05,NZ,2022-06-22 19:34:55
13,Poum,-20.2333,164.0167,72.41,62,100,6.85,NC,2022-06-22 19:34:55
14,Avarua,-21.2078,-159.775,80.65,78,75,14.97,CK,2022-06-22 19:34:55
15,Tuktoyaktuk,69.4541,-133.0374,57.2,54,75,2.3,CA,2022-06-22 19:34:56
16,Baruun-Urt,46.6806,113.2792,57.43,74,13,4.43,MN,2022-06-22 19:34:35
17,Merauke,-8.4667,140.3333,77.34,87,86,15.95,ID,2022-06-22 19:34:56
18,Upernavik,72.7868,-56.1549,33.78,90,100,10.13,GL,2022-06-22 19:34:56
19,Dakar,14.6937,-17.4441,82.53,78,20,16.11,SN,2022-06-22 19:34:17
20,Kempsey,-31.0833,152.8333,40.95,95,0,3.0,AU,2022-06-22 19:34:57
21,Ushuaia,-54.8,-68.3,40.62,81,40,33.38,AR,2022-06-22 19:34:57
22,Tongliao,43.6125,122.2653,67.05,92,100,4.25,CN,2022-06-22 19:34:57
23,Marawi,7.9986,124.2928,68.79,93,100,2.68,PH,2022-06-22 19:34:58
24,Noumea,-22.2763,166.4572,69.01,99,99,6.04,NC,2022-06-22 19:34:58
25,New Norfolk,-42.7826,147.0587,48.92,83,100,2.86,AU,2022-06-22 19:34:58
26,Sitka,57.0531,-135.33,49.89,87,75,4.61,US,2022-06-22 19:34:59
27,Luderitz,-26.6481,15.1594,56.48,73,0,6.29,NA,2022-06-22 19:34:59
28,Albany,42.6001,-73.9662,67.17,80,94,12.91,US,2022-06-22 19:35:00
29,Nantucket,41.2835,-70.0995,69.91,79,20,16.11,US,2022-06-22 19:31:09
30,Port Elizabeth,-33.918,25.5701,61.11,93,0,2.3,ZA,2022-06-22 19:35:00
31,Jibuti,11.5,42.5,92.68,24,100,5.57,DJ,2022-06-22 19:35:00
32,Birao,10.2849,22.7882,78.04,56,1,2.17,CF,2022-06-22 19:35:01
33,Mecca,21.4267,39.8261,86.11,44,18,6.69,SA,2022-06-22 19:32:09
